name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Triton College,Illinois,IL,Public,2 Year,,4650,4650,12539,12539,,,,,,
Trocaire College,New York,NY,Private,2 Year,,17650,17650,17650,17650,,,,,,
Troy University,Alabama,AL,Public,4 Year,8185,12460,20645,22875,31060,11,Alabama,44500,81500,60,8
Truckee Meadows Community College,Nevada,NV,Public,2 Year,,3338,3338,10250,10250,,,,,,
Truett McConnell University,Georgia,GA,Private,4 Year,7550,20230,27780,20230,27780,,,,,,
Truman State University,Missouri,MO,Public,4 Year,8780,7729,16509,14581,23361,12,Missouri,47900,85800,48,16
Tufts University,Massachusetts,MA,Private,4 Year,14560,56382,70942,56382,70942,7,Massachusetts,65200,118100,49,25
Tulane University,Louisiana,LA,Private,4 Year,15190,54820,70010,54820,70010,,,,,,
Tulsa Community College,Oklahoma,OK,Public,2 Year,,4187,4187,10727,10727,,,,,,
Tunxis Community College,Connecticut,CT,Public,2 Year,,4404,4404,13172,13172,,,,,,
Turabo University,,PR,Private,4 Year,,7050,7050,7050,7050,,,,,,
Tusculum College,Tennessee,TN,Private,4 Year,9190,24860,34050,24860,34050,,,,,,
Tuskegee University,Alabama,AL,Private,4 Year,9650,22170,31820,22170,31820,4,Alabama,54500,93500,61,30
Tyler Junior College,Texas,TX,Public,2 Year,7940,2962,10902,5482,13422,,,,,,
U.T.A. Mesivta-Kiryas Joel,New York,NY,Private,4 Year,4600,11000,15600,11000,15600,,,,,,
Ulster County Community College,New York,NY,Public,2 Year,,5340,5340,9820,9820,,,,,,
Umpqua Community College,Oregon,OR,Public,2 Year,,5851,5851,11070,11070,,,,,,
Union College,Nebraska,NE,Private,4 Year,7070,23780,30850,23780,30850,,,,,,
Union College,Kentucky,KY,Private,4 Year,7600,27140,34740,27140,34740,,,,,,
Union College,New York,NY,Private,4 Year,13563,55290,68853,55290,68853,,,,,,
Union County College,New Jersey,NJ,Public,2 Year,,5140,5140,10280,10280,,,,,,
Union Institute & University,Ohio,OH,Private,4 Year,,16526,16526,16526,16526,,,,,,
Union University,Tennessee,TN,Private,4 Year,10200,32890,43090,32890,43090,12,Tennessee,46400,83000,59,6
United States Sports Academy,Alabama,AL,Private,4 Year,,12210,12210,12210,12210,,,,,,
United Talmudical Seminary,New York,NY,Private,4 Year,1500,13800,15300,13800,15300,,,,,,
United Tribes Technical College,North Dakota,ND,Private,2 Year,5084,4482,9566,4482,9566,,,,,,
Unity College,Maine,ME,Private,4 Year,10710,29160,39870,29160,39870,15,Maine,38200,69500,,23
Universal Technology College of Puerto Rico,,PR,Private,2 Year,,18000,18000,18000,18000,,,,,,
Universidad Adventista de las Antillas,,PR,Private,4 Year,6400,6570,12970,6570,12970,,,,,,
Universidad del Este,,PR,Private,4 Year,,6330,6330,6330,6330,,,,,,
Universidad Metropolitana,,PR,Private,4 Year,,7050,7050,7050,7050,,,,,,
Universidad Pentecostal Mizpa,,PR,Private,4 Year,3760,4120,7880,4120,7880,,,,,,
Universidad Politecnica de Puerto Rico,,PR,Private,4 Year,4950,8610,13560,8610,13560,,,,,,
University College of San Juan,,PR,Public,4 Year,,2370,2370,2370,2370,,,,,,
University of Akron,Ohio,OH,Public,4 Year,12200,11463,23663,17750,29950,,,,,,
University of Akron: Wayne College,Ohio,OH,Public,2 Year,,5100,5100,8100,8100,,,,,,
University of Alabama,Alabama,AL,Public,4 Year,10102,10780,20882,29230,39332,,,,,,
University of Alabama at Birmingham,Alabama,AL,Public,4 Year,6400,10710,17110,24630,31030,8,Alabama,48600,87200,57,17
University of Alabama in Huntsville,Alabama,AL,Public,4 Year,10094,10714,20808,22362,32456,2,Alabama,57500,103900,59,45
University of Alaska Anchorage,Alaska,AK,Public,4 Year,12200,7688,19888,23858,36058,2,Alaska,56000,101000,57,10
University of Alaska Fairbanks,Alaska,AK,Public,4 Year,8930,8087,17017,24257,33187,1,Alaska,59100,101800,54,20
University of Alaska Southeast,Alaska,AK,Public,4 Year,9200,7092,16292,19404,28604,,,,,,
University of Antelope Valley,California,CA,Private,4 Year,6640,17738,24378,17738,24378,,,,,,
University of Arizona,Arizona,AZ,Public,4 Year,12550,12487,25037,36386,48936,2,Arizona,56100,101000,51,23
University of Arkansas,Arkansas,AR,Public,4 Year,11020,9130,20150,25168,36188,1,Arkansas,52500,98000,49,18
University of Arkansas at Fort Smith,Arkansas,AR,Public,4 Year,8416,7128,15544,15969,24385,,,,,,
University of Arkansas at Little Rock,Arkansas,AR,Public,4 Year,8930,8966,17896,21206,30136,7,Arkansas,45600,80800,55,13
University of Arkansas at Monticello,Arkansas,AR,Public,4 Year,6824,7696,14520,13546,20370,12,Arkansas,43500,78300,61,2
University of Arkansas at Pine Bluff,Arkansas,AR,Public,4 Year,7881,7842,15723,14094,21975,17,Arkansas,40500,70500,67,22
University of Arkansas Community College Rich Mountain,Arkansas,AR,Public,2 Year,,3600,3600,4920,4920,,,,,,
University of Arkansas for Medical Sciences,Arkansas,AR,Public,4 Year,,8197,8197,15973,15973,3,Arkansas,51700,89100,84,3
University of Arkansas Pulaski-Technical College,Arkansas,AR,Public,2 Year,,5362,5362,6557,6557,,,,,,
University of Arkansas: Community College at Batesville,Arkansas,AR,Public,2 Year,,3150,3150,4140,4140,,,,,,
University of Arkansas: Community College at Hope,Arkansas,AR,Public,2 Year,,2830,2830,4090,4090,,,,,,
University of Arkansas: Community College at Morrilton,Arkansas,AR,Public,2 Year,,3920,3920,5090,5090,,,,,,
University of Baltimore,Maryland,MD,Public,4 Year,,8958,8958,21076,21076,20,Maryland,51000,89600,56,2
University of Bridgeport,Connecticut,CT,Private,4 Year,13860,32850,46710,32850,46710,13,Connecticut,49900,93600,59,31
University of California: Berkeley,California,CA,Public,4 Year,16160,14184,30344,43176,59336,,,,,,
University of California: Davis,California,CA,Public,4 Year,16211,14463,30674,43458,59669,,,,,,
University of California: Irvine,California,CA,Public,4 Year,15263,15614,30877,44606,59869,,,,,,
University of California: Los Angeles,California,CA,Public,4 Year,15816,13774,29590,42766,58582,,,,,,
University of California: Merced,California,CA,Public,4 Year,16454,13627,30081,41641,58095,,,,,,
University of California: Riverside,California,CA,Public,4 Year,17475,15633,33108,44625,62100,,,,,,
University of California: San Diego,California,CA,Public,4 Year,12362,14199,26561,43191,55553,,,,,,
University of California: Santa Barbara,California,CA,Public,4 Year,15273,14424,29697,43416,58689,,,,,,
University of California: Santa Cruz,California,CA,Public,4 Year,16407,14009,30416,42023,58430,,,,,,
University of Central Arkansas,Arkansas,AR,Public,4 Year,6854,8751,15605,15274,22128,10,Arkansas,44900,79800,52,8
University of Central Florida,Florida,FL,Public,4 Year,9617,6368,15985,22467,32084,16,Florida,49700,88600,50,16
University of Central Missouri,Missouri,MO,Public,4 Year,8766,7673,16439,14442,23208,16,Missouri,46900,83300,54,45
University of Central Oklahoma,Oklahoma,OK,Public,4 Year,7970,7488,15458,18376,26346,10,Oklahoma,45300,82900,56,8
University of Charleston,West Virginia,WV,Private,4 Year,9180,30900,40080,30900,40080,8,West-Virginia,44600,81900,51,4
University of Chicago,Illinois,IL,Private,4 Year,16350,58230,74580,58230,74580,4,Illinois,64000,114200,41,22
University of Cincinnati,Ohio,OH,Public,4 Year,11118,11000,22118,26334,37452,,,,,,
University of Cincinnati: Blue Ash College,Ohio,OH,Public,2 Year,,6360,6360,15158,15158,,,,,,
University of Cincinnati: Clermont College,Ohio,OH,Public,2 Year,,5316,5316,12548,12548,,,,,,
University of Colorado Boulder,Colorado,CO,Public,4 Year,14418,12532,26950,37286,51704,3,Colorado,57800,109900,48,39
University of Colorado Colorado Springs,Colorado,CO,Public,4 Year,10500,10463,20963,24893,35393,9,Colorado,52200,90900,53,21
University of Colorado Denver,Colorado,CO,Public,4 Year,,11394,11394,32004,32004,,,,,,
University of Connecticut,Connecticut,CT,Public,4 Year,12874,15730,28604,38098,50972,6,Connecticut,59100,105200,48,24
University of Dallas,Texas,TX,Private,4 Year,12400,40652,53052,40652,53052,21,Texas,53000,96400,49,16
University of Dayton,Ohio,OH,Private,4 Year,13580,42900,56480,42900,56480,4,Ohio,57400,105000,44,33
University of Delaware,Delaware,DE,Public,4 Year,12862,13680,26542,34310,47172,1,Delaware,58600,105400,43,22
University of Denver,Colorado,CO,Private,4 Year,13005,50556,63561,50556,63561,4,Colorado,55700,105100,48,12
University of Detroit Mercy,Michigan,MI,Private,4 Year,9496,28000,37496,28000,37496,10,Michigan,51800,92800,57,13
University of Dubuque,Iowa,IA,Private,4 Year,9930,34110,44040,34110,44040,21,Iowa,44200,79700,48,7
University of Evansville,Indiana,IN,Private,4 Year,12460,36416,48876,36416,48876,11,Indiana,50300,89900,54,17
University of Findlay,Ohio,OH,Private,4 Year,10000,34360,44360,34360,44360,,,,,,
University of Florida,Florida,FL,Public,4 Year,10120,6381,16501,28658,38778,4,Florida,55800,102800,52,29
University of Georgia,Georgia,GA,Public,4 Year,10038,11830,21868,30404,40442,3,Georgia,54400,100700,45,14
University of Great Falls,Montana,MT,Private,4 Year,9200,25318,34518,25318,34518,,,,,,
University of Hartford,Connecticut,CT,Private,4 Year,12476,40694,53170,40694,53170,7,Connecticut,55200,101600,53,15
University of Hawaii at Hilo,Hawaii,HI,Public,4 Year,11406,7720,19126,20680,32086,5,Hawaii,44000,77200,59,14
University of Hawaii at Manoa,Hawaii,HI,Public,4 Year,13689,11970,25659,34002,47691,3,Hawaii,51600,91600,56,18
University of Hawaii: Hawaii Community College,Hawaii,HI,Public,2 Year,10418,3915,14333,10515,20933,,,,,,
University of Hawaii: Honolulu Community College,Hawaii,HI,Public,2 Year,,3885,3885,10305,10305,,,,,,
University of Hawaii: Kapiolani Community College,Hawaii,HI,Public,2 Year,,3915,3915,10335,10335,,,,,,
University of Hawaii: Kauai Community College,Hawaii,HI,Public,2 Year,,3963,3963,10383,10383,,,,,,
University of Hawaii: Leeward Community College,Hawaii,HI,Public,2 Year,,3915,3915,10335,10335,,,,,,
University of Hawaii: Maui College,Hawaii,HI,Public,2 Year,,3989,3989,10409,10409,,,,,,
University of Hawaii: West Oahu,Hawaii,HI,Public,4 Year,,7512,7512,20472,20472,,,,,,
University of Hawaii: Windward Community College,Hawaii,HI,Public,2 Year,,3895,3895,10315,10315,,,,,,
University of Holy Cross,Louisiana,LA,Private,4 Year,,17300,17300,17300,17300,13,Louisiana,48400,86300,69,3
University of Houston,Texas,TX,Public,4 Year,10270,12506,22776,27956,38226,9,Texas,56000,103900,50,24
University of Houston-Clear Lake,Texas,TX,Public,4 Year,,8500,8500,24731,24731,23,Texas,50700,94800,48,29
University of Houston-Downtown,Texas,TX,Public,4 Year,,7832,7832,20282,20282,,,,,,
University of Houston-Victoria,Texas,TX,Public,4 Year,8045,7970,16015,20420,28465,,,,,,
University of Idaho,Idaho,ID,Public,4 Year,8880,7864,16744,25500,34380,1,Idaho,52300,97700,54,22
University of Illinois at Chicago,Illinois,IL,Public,4 Year,12074,13764,25838,26980,39054,7,Illinois,56300,103800,48,31
University of Illinois at Urbana-Champaign,Illinois,IL,Public,4 Year,11308,15094,26402,31664,42972,3,Illinois,62600,115300,44,36
University of Illinois: Springfield,Illinois,IL,Public,4 Year,11660,11813,23473,21338,32998,,,,,,
University of Indianapolis,Indiana,IN,Private,4 Year,10288,29688,39976,29688,39976,21,Indiana,47300,84500,55,5
University of Iowa,Iowa,IA,Public,4 Year,11172,9267,20439,31233,42405,3,Iowa,54100,99400,48,16
University of Jamestown,North Dakota,ND,Private,4 Year,7570,21976,29546,21976,29546,3,North-Dakota,47600,85400,64,11
University of Kansas,Kansas,KS,Public,4 Year,10350,11148,21498,27358,37708,1,Kansas,53000,98600,52,16
University of Kansas Medical Center,Kansas,KS,Public,4 Year,,11108,11108,27578,27578,,,,,,
University of Kentucky,Kentucky,KY,Public,4 Year,12982,12245,25227,29099,42081,1,Kentucky,51700,96400,48,19
University of La Verne,California,CA,Private,4 Year,12850,43050,55900,43050,55900,,,,,,
University of Louisiana at Lafayette,Louisiana,LA,Public,4 Year,8516,10616,19132,24344,32860,5,Louisiana,48200,92500,52,19
University of Louisiana at Monroe,Louisiana,LA,Public,4 Year,7850,8734,16584,20834,28684,5,Louisiana,48500,92500,65,7
University of Louisville,Kentucky,KY,Public,4 Year,9226,11656,20882,27278,36504,5,Kentucky,49500,87600,50,18
University of Lynchburg,Virginia,VA,Private,4 Year,10800,39530,50330,39530,50330,,,,,,
University of Maine,Maine,ME,Public,4 Year,10418,11170,21588,30970,41388,5,Maine,52000,95000,50,24
University of Maine at Augusta,Maine,ME,Public,4 Year,,7988,7988,17918,17918,12,Maine,41600,73100,61,7
University of Maine at Farmington,Maine,ME,Public,4 Year,9726,9666,19392,19778,29504,13,Maine,41100,71700,64,5
University of Maine at Fort Kent,Maine,ME,Public,4 Year,8220,8115,16335,12315,20535,11,Maine,43500,76300,73,5
University of Maine at Machias,Maine,ME,Public,4 Year,8486,7840,16326,15100,23586,16,Maine,37100,66200,47,13
University of Maine at Presque Isle,Maine,ME,Public,4 Year,8406,8035,16441,12235,20641,14,Maine,39000,70700,58,6
University of Management and Technology,Virginia,VA,For Profit,4 Year,,9450,9450,9450,9450,,,,,,
University of Mary,North Dakota,ND,Private,4 Year,6890,18720,25610,18720,25610,6,North-Dakota,46400,79100,64,3
University of Mary Hardin-Baylor,Texas,TX,Private,4 Year,8446,28750,37196,28750,37196,,,,,,
University of Mary Washington,Virginia,VA,Public,4 Year,11118,12188,23306,27434,38552,10,Virginia,54200,98200,49,17
University of Maryland: Baltimore,Maryland,MD,Public,4 Year,,11033,11033,39267,39267,,,,,,
University of Maryland: Baltimore County,Maryland,MD,Public,4 Year,11696,11778,23474,26872,38568,,,,,,
University of Maryland: College Park,Maryland,MD,Public,4 Year,12429,10595,23024,35216,47645,,,,,,
University of Maryland: Eastern Shore,Maryland,MD,Public,4 Year,9864,8302,18166,18508,28372,,,,,,
University of Maryland: University College,Maryland,MD,Public,4 Year,,7416,7416,12336,12336,,,,,,
University of Massachusetts Amherst,Massachusetts,MA,Public,4 Year,13202,16072,29274,34755,47957,,,,,,
University of Massachusetts Boston,Massachusetts,MA,Public,4 Year,16290,14167,30457,33966,50256,,,,,,
University of Massachusetts Dartmouth,Massachusetts,MA,Public,4 Year,13582,13921,27503,29141,42723,,,,,,
University of Massachusetts Lowell,Massachusetts,MA,Public,4 Year,12748,15180,27928,32827,45575,,,,,,
University of Memphis,Tennessee,TN,Public,4 Year,9975,9701,19676,21413,31388,8,Tennessee,47200,85800,55,12
University of Miami,Florida,FL,Private,4 Year,14108,50226,64334,50226,64334,6,Florida,56200,99600,48,22
University of Michigan,Michigan,MI,Public,4 Year,11534,15262,26796,49350,60884,,,,,,
University of Michigan: Dearborn,Michigan,MI,Public,4 Year,,12930,12930,25158,25158,,,,,,
University of Michigan: Flint,Michigan,MI,Public,4 Year,8769,11820,20589,22578,31347,,,,,,
University of Minnesota: Crookston,Minnesota,MN,Public,4 Year,7658,11921,19579,11921,19579,,,,,,
University of Minnesota: Duluth,Minnesota,MN,Public,4 Year,7760,13367,21127,18485,26245,,,,,,
University of Minnesota: Morris,Minnesota,MN,Public,4 Year,8342,13314,21656,15342,23684,,,,,,
University of Minnesota: Rochester,Minnesota,MN,Public,4 Year,9710,13352,23062,13352,23062,,,,,,
University of Minnesota: Twin Cities,Minnesota,MN,Public,4 Year,10312,14693,25005,30371,40683,,,,,,
University of Mississippi,Mississippi,MS,Public,4 Year,10696,8660,19356,24614,35310,2,Mississippi,48500,89100,55,12
University of Mississippi Medical Center,Mississippi,MS,Public,4 Year,,8433,8433,24731,24731,,,,,,
University of Missouri: Columbia,Missouri,MO,Public,4 Year,10786,12055,22841,29025,39811,,,,,,
University of Missouri: Kansas City,Missouri,MO,Public,4 Year,10334,9884,20218,25010,35344,,,,,,
University of Missouri: St. Louis,Missouri,MO,Public,4 Year,9450,10491,19941,27900,37350,,,,,,
University of Mobile,Alabama,AL,Private,4 Year,9600,22820,32420,22820,32420,19,Alabama,40600,74100,77,7
University of Montana,Montana,MT,Public,4 Year,9544,7244,16788,24959,34503,,,,,,
University of Montana: Western,Montana,MT,Public,4 Year,7950,5717,13667,17179,25129,,,,,,
University of Montevallo,Alabama,AL,Public,4 Year,9330,12760,22090,25780,35110,22,Alabama,38900,70700,49,7
University of Mount Olive,North Carolina,NC,Private,4 Year,8550,20600,29150,20600,29150,,,,,,
University of Mount Union,Ohio,OH,Private,4 Year,10200,31260,41460,31260,41460,22,Ohio,48300,88500,41,19
University of Nebraska - Kearney,Nebraska,NE,Public,4 Year,9878,7513,17391,14503,24381,,,,,,
University of Nebraska - Lincoln,Nebraska,NE,Public,4 Year,11430,9154,20584,24949,36379,,,,,,
University of Nebraska - Omaha,Nebraska,NE,Public,4 Year,9950,8417,18367,22689,32639,,,,,,
University of Nebraska Medical Center,Nebraska,NE,Public,4 Year,,11558,11558,28898,28898,3,Nebraska,53400,93000,79,6
University of Nevada: Las Vegas,Nevada,NV,Public,4 Year,10504,7985,18489,22457,32961,,,,,,
University of Nevada: Reno,Nevada,NV,Public,4 Year,10868,7925,18793,22397,33265,,,,,,
University of New England,Maine,ME,Private,4 Year,13990,37620,51610,37620,51610,6,Maine,50100,91500,69,7
University of New Hampshire,New Hampshire,NH,Public,4 Year,11580,18499,30079,33879,45459,,,,,,
University of New Hampshire at Manchester,New Hampshire,NH,Public,4 Year,,15265,15265,30635,30635,4,New-Hampshire,51900,90900,50,32
University of New Haven,Connecticut,CT,Private,4 Year,15900,39270,55170,39270,55170,11,Connecticut,52100,94800,52,25
University of New Mexico,New Mexico,NM,Public,4 Year,9864,5445,15309,26845,36709,,,,,,
University of New Orleans,Louisiana,LA,Public,4 Year,10575,9054,19629,13890,24465,7,Louisiana,49900,91600,55,23
University of North Alabama,Alabama,AL,Public,4 Year,9200,10370,19570,18680,27880,18,Alabama,43000,75600,61,6
University of North Carolina at Asheville,North Carolina,NC,Public,4 Year,9106,7145,16251,23868,32974,,,,,,
University of North Carolina at Chapel Hill,North Carolina,NC,Public,4 Year,11190,8987,20177,35170,46360,5,North-Carolina,55000,100800,49,19
University of North Carolina at Charlotte,North Carolina,NC,Public,4 Year,11100,7044,18144,20478,31578,8,North-Carolina,52500,92600,49,25
University of North Carolina at Greensboro,North Carolina,NC,Public,4 Year,9038,7319,16357,22478,31516,,,,,,
University of North Carolina at Pembroke,North Carolina,NC,Public,4 Year,8924,3418,12342,7418,16342,,,,,,
University of North Carolina at Wilmington,North Carolina,NC,Public,4 Year,10686,7000,17686,21065,31751,,,,,,
University of North Carolina School of the Arts,North Carolina,NC,Public,4 Year,9021,9358,18379,25501,34522,16,North-Carolina,46400,82400,44,0
University of North Dakota,North Dakota,ND,Public,4 Year,8974,8695,17669,20759,29733,2,North-Dakota,53800,96000,54,16
University of North Florida,Florida,FL,Public,4 Year,9976,6394,16370,20112,30088,19,Florida,48800,86600,51,11
University of North Georgia,Georgia,GA,Public,4 Year,7876,7336,15212,21148,29024,9,Georgia,47300,85600,51,8
University of North Texas,Texas,TX,Public,4 Year,9727,11250,20977,23700,33427,,,,,,
University of North Texas at DallasSystem,Texas,TX,Other,Other,,8448,8448,14640,14640,,,,,,
University of Northern Colorado,Colorado,CO,Public,4 Year,11204,9786,20990,21474,32678,12,Colorado,47700,87100,52,7
University of Northern Iowa,Iowa,IA,Public,4 Year,8948,8938,17886,19480,28428,15,Iowa,47100,85300,46,8
University of Northwestern - St. Paul,Minnesota,MN,Private,4 Year,9460,31540,41000,31540,41000,,,,,,
University of Northwestern Ohio,Ohio,OH,Private,4 Year,2850,10650,13500,10650,13500,,,,,,
University of Notre Dame,Indiana,IN,Private,4 Year,15410,53391,68801,53391,68801,2,Indiana,67000,130500,45,28
University of Oklahoma,Oklahoma,OK,Public,4 Year,10994,11763,22757,27144,38138,,,,,,
University of Oregon,Oregon,OR,Public,4 Year,12963,11898,24861,35478,48441,7,Oregon,51800,95800,46,13
University of Pennsylvania,Pennsylvania,PA,Private,4 Year,15616,55584,71200,55584,71200,3,Pennsylvania,72800,133900,41,21
University of Pikeville,Kentucky,KY,Private,4 Year,7800,20950,28750,20950,28750,21,Kentucky,39000,70700,74,11
University of Pittsburgh,Pennsylvania,PA,Public,4 Year,11050,19080,30130,32052,43102,,,,,,
University of Pittsburgh at Bradford,Pennsylvania,PA,Public,4 Year,9332,13900,23232,25144,34476,,,,,,
University of Pittsburgh at Greensburg,Pennsylvania,PA,Public,4 Year,,13890,13890,25134,25134,,,,,,
University of Pittsburgh at Johnstown,Pennsylvania,PA,Public,4 Year,9980,13878,23858,25122,35102,,,,,,
University of Pittsburgh at Titusville,Pennsylvania,PA,Public,2 Year,10996,11788,22784,21532,32528,,,,,,
University of Portland,Oregon,OR,Private,4 Year,13450,45904,59354,45904,59354,3,Oregon,58500,104900,52,28
University of Puerto Rico: Aguadilla,,PR,Public,4 Year,,3594,3594,3594,3594,,,,,,
University of Puerto Rico: Arecibo,,PR,Public,4 Year,,1769,1769,1987,1987,,,,,,
University of Puerto Rico: Bayamon University College,,PR,Public,4 Year,,2022,2022,2022,2022,,,,,,
University of Puerto Rico: Carolina Regional College,,PR,Public,4 Year,,6116,6116,6116,6116,,,,,,
University of Puerto Rico: Humacao,,PR,Public,4 Year,,1794,1794,1794,1794,,,,,,
University of Puerto Rico: Mayaguez,,PR,Public,4 Year,,2083,2083,4105,4105,,,,,,
University of Puerto Rico: Medical Sciences,,PR,Public,4 Year,,2196,2196,2196,2196,,,,,,
University of Puerto Rico: Ponce,,PR,Public,4 Year,,2261,2261,2261,2261,,,,,,
University of Puerto Rico: Rio Piedras,,PR,Public,4 Year,8751,3624,12375,5349,14100,,,,,,
University of Puerto Rico: Utuado,,PR,Public,4 Year,,2266,2266,4287,4287,,,,,,
University of Puget Sound,Washington,WA,Private,4 Year,12540,49776,62316,49776,62316,8,Washington,54200,101300,45,21
University of Redlands,California,CA,Private,4 Year,14278,49504,63782,49504,63782,,,,,,
University of Rhode Island,Rhode Island,RI,Public,4 Year,12950,14138,27088,30862,43812,5,Rhode-Island,54500,99700,50,18
University of Richmond,Virginia,VA,Private,4 Year,12250,52610,64860,52610,64860,7,Virginia,59800,107500,48,13
University of Rio Grande,Ohio,OH,Private,4 Year,11166,27470,38636,27470,38636,,,,,,
University of Rochester,New York,NY,Private,4 Year,15938,53926,69864,53926,69864,16,New-York,61100,112700,50,32
University of Saint Francis,Indiana,IN,Private,4 Year,9840,30615,40455,30615,40455,,,,,,
University of Saint Joseph,Connecticut,CT,Private,4 Year,11428,39173,50601,39173,50601,14,Connecticut,49900,88800,63,9
University of San Diego,California,CA,Private,4 Year,12980,49358,62338,49358,62338,25,California,58900,109400,48,12
University of San Francisco,California,CA,Private,4 Year,14830,48066,62896,48066,62896,23,California,60600,109900,52,6
University of Science and Arts of Oklahoma,Oklahoma,OK,Public,4 Year,6350,7215,13565,17565,23915,23,Oklahoma,37300,67400,49,11
University of Scranton,Pennsylvania,PA,Private,4 Year,15182,44532,59714,44532,59714,23,Pennsylvania,56400,99700,42,12
University of Sioux Falls,South Dakota,SD,Private,4 Year,7350,18280,25630,18280,25630,6,South-Dakota,44400,78200,64,6
University of South Alabama,Alabama,AL,Public,4 Year,7620,9870,17490,19740,27360,9,Alabama,47700,86400,56,17
University of South Carolina: Aiken,South Carolina,SC,Public,4 Year,7766,10760,18526,21218,28984,,,,,,
University of South Carolina: Beaufort,South Carolina,SC,Public,4 Year,,10680,10680,21726,21726,,,,,,
University of South Carolina: Columbia,South Carolina,SC,Public,4 Year,,12616,12616,33298,33298,,,,,,
University of South Carolina: Lancaster,South Carolina,SC,Public,2 Year,,7558,7558,18238,18238,,,,,,
University of South Carolina: Salkehatchie,South Carolina,SC,Public,2 Year,,7558,7558,18238,18238,,,,,,
University of South Carolina: Sumter,South Carolina,SC,Public,2 Year,,7558,7558,18238,18238,,,,,,
University of South Carolina: Union,South Carolina,SC,Public,2 Year,,7558,7558,18238,18238,,,,,,
University of South Carolina: Upstate,South Carolina,SC,Public,4 Year,9480,11763,21243,23265,32745,,,,,,
University of South Dakota,South Dakota,SD,Public,4 Year,8216,9061,17277,12425,20641,4,South-Dakota,47500,87900,56,8
University of South Florida,Florida,FL,Public,4 Year,11610,6410,18020,17324,28934,,,,,,
University of South Florida: Saint Petersburg,Florida,FL,Public,4 Year,11610,5821,17431,16735,28345,,,,,,
University of South Florida: Sarasota-Manatee,Florida,FL,Public,4 Year,,5587,5587,16502,16502,,,,,,
University of Southern California,California,CA,Private,4 Year,15395,56225,71620,56225,71620,11,California,64500,120600,47,23
University of Southern Indiana,Indiana,IN,Public,4 Year,8838,7970,16808,18626,27464,,,,,,
University of Southern Maine,Maine,ME,Public,4 Year,9450,9520,18970,22780,32230,9,Maine,46900,81300,55,8
University of Southern Mississippi,Mississippi,MS,Public,4 Year,9857,8734,18591,10734,20591,4,Mississippi,45100,83900,56,11
University of St. Francis,Illinois,IL,Private,4 Year,9544,32320,41864,32320,41864,,,,,,
University of St. Mary,Kansas,KS,Private,4 Year,8140,28810,36950,28810,36950,,,,,,
University of St. Thomas,Texas,TX,Private,4 Year,9070,33580,42650,33580,42650,,,,,,
University of St. Thomas,Minnesota,MN,Private,4 Year,10412,42736,53148,42736,53148,,,,,,
University of Tampa,Florida,FL,Private,4 Year,10810,29208,40018,29208,40018,,,,,,
University of Tennessee: Chattanooga,Tennessee,TN,Public,4 Year,9050,8664,17714,24782,33832,,,,,,
University of Tennessee: Knoxville,Tennessee,TN,Public,4 Year,11240,13006,24246,31196,42436,,,,,,
University of Tennessee: Martin,Tennessee,TN,Public,4 Year,6164,9512,15676,15552,21716,,,,,,
University of Texas at Arlington,Texas,TX,Public,4 Year,10302,10250,20552,25134,35436,,,,,,
University of Texas at Austin,Texas,TX,Public,4 Year,10804,10606,21410,37480,48284,,,,,,
University of Texas at Dallas,Texas,TX,Public,4 Year,11532,13034,24566,36876,48408,,,,,,
University of Texas at El Paso,Texas,TX,Public,4 Year,5040,7998,13038,22529,27569,,,,,,
University of Texas at San Antonio,Texas,TX,Public,4 Year,11578,9900,21478,24262,35840,,,,,,
University of Texas at Tyler,Texas,TX,Public,4 Year,9502,8292,17794,21522,31024,,,,,,
University of Texas Health Science Center at Houston,Texas,TX,Public,4 Year,,6380,6380,27710,27710,,,,,,
University of Texas Medical Branch at Galveston,Texas,TX,Public,4 Year,,7721,7721,20258,20258,,,,,,
University of Texas of the Permian Basin,Texas,TX,Public,4 Year,9846,7124,16970,19574,29420,,,,,,
University Of Texas Rio Grande Valley,Texas,TX,Public,4 Year,8124,7813,15937,20263,28387,,,,,,
University of the Arts,Pennsylvania,PA,Private,4 Year,16322,44780,61102,44780,61102,,,,,,
University of the Cumberlands,Kentucky,KY,Private,4 Year,9000,23000,32000,23000,32000,17,Kentucky,39800,73800,63,8
University of the District of Columbia,,DC,Public,4 Year,16425,8252,24677,16388,32813,,,,,,
University of the Incarnate Word,Texas,TX,Private,4 Year,12716,31484,44200,31484,44200,,,,,,
University of the Ozarks,Arkansas,AR,Private,4 Year,7400,24230,31630,24230,31630,14,Arkansas,42300,74500,58,16
University of the Pacific,California,CA,Private,4 Year,13650,48040,61690,48040,61690,,,,,,
University of the Sciences,Pennsylvania,PA,Private,4 Year,15938,25000,40938,25000,40938,8,Pennsylvania,60700,115200,72,12
University of the Southwest,New Mexico,NM,Private,4 Year,8220,16000,24220,16000,24220,,,,,,
University of the Virgin Islands,,VI,Public,4 Year,9900,5235,15135,14496,24396,,,,,,
University of the West,California,CA,Private,4 Year,7764,15440,23204,15440,23204,,,,,,
