id,group_random,group_random_dummy,Y0,Y1
2638,treatment,1,4,6
2639,control,0,6,9.2
2640,treatment,1,3,5.2
2641,treatment,1,3,4
2642,treatment,1,8,9.2
2643,control,0,8,10.2
2644,control,0,7,10
2645,treatment,1,6,7
2646,control,0,3,4.2
2647,control,0,3,6.2
2648,treatment,1,10,13.2
2649,treatment,1,10,11
2650,control,0,6,7
2651,control,0,8,10.2
2652,treatment,1,5,6.2
2653,treatment,1,7,9.2
2654,control,0,7,9
2655,control,0,2,3
2656,control,0,9,12
2657,treatment,1,6,9.2
2658,treatment,1,10,13
2659,treatment,1,7,8
2660,treatment,1,11,14.2
2661,control,0,9,10
2662,control,0,6,9
2663,control,0,6,7.2
2664,treatment,1,5,7.2
2665,control,0,5,8.2
2666,control,0,4,6.2
2667,control,0,10,13
2668,treatment,1,8,9
2669,control,0,9,11
2670,treatment,1,8,9
2671,treatment,1,6,7.2
2672,control,0,9,12.2
2673,treatment,1,3,4
2674,treatment,1,8,9.2
2675,treatment,1,9,12
2676,treatment,1,8,11.2
2677,control,0,2,5
2678,treatment,1,8,9.2
2679,control,0,11,14.2
2680,control,0,1,3
2681,control,0,4,7
2682,control,0,8,10
2683,treatment,1,10,13
2684,treatment,1,10,11
2685,control,0,11,12.2
2686,control,0,8,9.2
2687,treatment,1,2,3.2
2688,treatment,1,10,13
2689,treatment,1,3,6.2
2690,treatment,1,8,10
2691,treatment,1,3,5
2692,control,0,10,11.2
2693,control,0,10,11
2694,control,0,11,13.2
2695,treatment,1,6,7
2696,control,0,7,10
2697,control,0,6,7.2
2698,treatment,1,4,7.2
2699,control,0,6,8
2700,control,0,3,5
2701,control,0,6,9.2
2702,control,0,1,4
2703,control,0,9,11
2704,treatment,1,6,9.2
2705,control,0,10,13.2
2706,control,0,1,3
2707,control,0,5,6
2708,control,0,4,7
2709,treatment,1,5,8.2
2710,treatment,1,7,10
2711,control,0,6,9
2712,treatment,1,10,13.2
2713,control,0,3,6
2714,control,0,10,11
2715,treatment,1,8,11.2
2716,control,0,4,7.2
2717,control,0,9,10.2
2718,control,0,11,13.2
2719,control,0,7,10
2720,control,0,9,11.2
2721,control,0,3,4
2722,treatment,1,5,7.2
2723,treatment,1,5,6.2
2724,control,0,8,10
2725,treatment,1,7,8.2
2726,treatment,1,2,5
2727,control,0,2,5
2728,treatment,1,7,9.2
2729,control,0,10,13.2
2730,treatment,1,6,8.2
2731,control,0,5,6
2732,treatment,1,2,5.2
2733,control,0,11,14.2
2734,treatment,1,2,5
2735,treatment,1,2,5.2
2736,treatment,1,2,5.2
2737,control,0,3,5.2
2738,control,0,8,11.2
2739,control,0,3,6
2740,treatment,1,8,10
2741,treatment,1,5,6
2742,control,0,10,11
2743,control,0,3,5
2744,control,0,10,12
2745,control,0,10,12
2746,control,0,9,11.2
2747,treatment,1,10,12.2
2748,treatment,1,11,14.2
2749,treatment,1,5,7.2
2750,control,0,9,10
2751,control,0,3,4.2
2752,treatment,1,2,3
2753,control,0,10,13.2
2754,treatment,1,4,6.2
2755,treatment,1,2,4.2
2756,treatment,1,2,3.2
2757,treatment,1,8,9
2758,treatment,1,1,2
2759,control,0,9,11.2
2760,control,0,4,5
2761,treatment,1,2,3.2
2762,control,0,11,14.2
2763,treatment,1,11,14.2
2764,treatment,1,9,11
2765,control,0,4,6
2766,treatment,1,5,8.2
2767,control,0,11,13.2
2768,control,0,2,5.2
2769,treatment,1,8,11.2
2770,treatment,1,8,9.2
2771,control,0,11,12.2
2772,control,0,4,6.2
2773,control,0,9,11
2774,control,0,6,9
2775,control,0,1,3
2776,control,0,10,13.2
2777,treatment,1,6,7.2
2778,treatment,1,2,5.2
2779,control,0,9,11
2780,treatment,1,9,11.2
2781,control,0,3,5.2
2782,treatment,1,6,7.2
2783,treatment,1,9,12.2
2784,control,0,2,4
2785,control,0,7,9
2786,control,0,4,6.2
2787,control,0,8,11.2
2788,treatment,1,6,9
2789,treatment,1,10,12.2
2790,treatment,1,10,13
2791,control,0,7,8.2
2792,control,0,5,7.2
2793,treatment,1,8,9.2
2794,treatment,1,10,11.2
2795,treatment,1,8,10
2796,treatment,1,8,11.2
2797,treatment,1,2,4
2798,control,0,9,12.2
2799,control,0,5,6
2800,control,0,10,12.2
2801,treatment,1,3,6
2802,treatment,1,10,11
2803,control,0,7,8
2804,control,0,5,6.2
2805,treatment,1,4,7
2806,treatment,1,6,7
2807,control,0,4,7
2808,treatment,1,2,4.2
2809,treatment,1,2,5.2
2810,control,0,7,10
2811,treatment,1,4,6
2812,treatment,1,2,5
2813,control,0,4,7
2814,treatment,1,6,9
2815,control,0,8,10
2816,treatment,1,8,10
2817,control,0,7,9
2818,treatment,1,3,4
2819,control,0,6,8.2
2820,treatment,1,3,6.2
2821,control,0,6,9.2
2822,treatment,1,7,9
2823,treatment,1,7,9
2824,treatment,1,10,13.2
2825,control,0,9,11
2826,treatment,1,10,13
2827,treatment,1,8,10
2828,treatment,1,10,13.2
2829,treatment,1,8,11.2
2830,treatment,1,11,12.2
2831,control,0,2,4.2
2832,treatment,1,6,8.2
2833,treatment,1,10,11.2
2834,treatment,1,2,3.2
2835,treatment,1,5,8
2836,control,0,2,5.2
2837,treatment,1,10,11.2
2838,control,0,8,10.2
2839,treatment,1,10,12
2840,treatment,1,9,10.2
2841,control,0,9,11.2
2842,control,0,8,11
2843,treatment,1,5,8.2
2844,treatment,1,6,8.2
2845,treatment,1,10,12.2
2846,treatment,1,8,11.2
2847,control,0,5,6.2
2848,treatment,1,10,13.2
2849,control,0,2,4
2850,control,0,1,3
2851,treatment,1,8,11.2
2852,control,0,10,12
2853,control,0,5,8
2854,treatment,1,7,10
2855,control,0,3,5
2856,treatment,1,3,5.2
2857,control,0,2,5
2858,treatment,1,9,11.2
2859,treatment,1,10,13.2
2860,treatment,1,6,7.2
2861,treatment,1,8,11
2862,control,0,10,12.2
2863,treatment,1,11,13.2
2864,control,0,7,8.2
2865,treatment,1,10,11.2
2866,control,0,3,4
2867,treatment,1,3,5
2868,control,0,9,10.2
2869,treatment,1,9,10
2870,treatment,1,4,7
2871,control,0,3,5.2
2872,control,0,2,5
2873,treatment,1,1,2
2874,control,0,3,6.2
2875,control,0,2,5
2876,control,0,7,8.2
2877,treatment,1,7,10
2878,control,0,10,11.2
2879,treatment,1,10,12
2880,treatment,1,8,10.2
2881,control,0,4,7
2882,treatment,1,6,9.2
2883,control,0,1,3
2884,control,0,5,7
2885,control,0,7,10
2886,control,0,10,11.2
2887,control,0,5,6
2888,control,0,4,7
2889,treatment,1,9,12
2890,treatment,1,4,6.2
2891,control,0,3,4
2892,control,0,5,7.2
2893,control,0,3,4.2
2894,treatment,1,8,9
2895,treatment,1,4,6
2896,control,0,5,7
2897,treatment,1,3,6
2898,control,0,11,12.2
2899,control,0,10,13
2900,treatment,1,9,12
2901,control,0,8,9
2902,control,0,4,6
2903,treatment,1,3,6
2904,treatment,1,10,11
2905,control,0,8,9
2906,control,0,6,8.2
2907,treatment,1,7,10
2908,control,0,11,13.2
2909,control,0,9,11.2
2910,control,0,2,3
2911,treatment,1,6,8.2
2912,treatment,1,7,10.2
2913,control,0,9,12
2914,treatment,1,3,6.2
2915,control,0,10,13
2916,treatment,1,5,8.2
2917,treatment,1,7,10
2918,control,0,7,9
2919,control,0,11,14.2
2920,control,0,5,8.2
2921,treatment,1,5,6.2
2922,control,0,1,2
2923,control,0,2,5
2924,control,0,4,7
2925,control,0,2,4
2926,control,0,7,9.2
2927,treatment,1,1,4
2928,treatment,1,6,7
2929,treatment,1,9,11
2930,treatment,1,9,12.2
2931,treatment,1,2,4.2
2932,treatment,1,5,8.2
2933,control,0,4,6.2
2934,treatment,1,11,13.2
2935,treatment,1,3,4
2936,treatment,1,4,7
2937,treatment,1,10,13.2
2938,treatment,1,6,7.2
2939,control,0,6,7.2
2940,treatment,1,4,6
2941,treatment,1,5,6
2942,control,0,2,5.2
2943,treatment,1,9,11
2944,control,0,8,11
2945,treatment,1,7,10.2
2946,control,0,7,10
2947,control,0,8,9.2
2948,treatment,1,3,4
2949,control,0,3,6
2950,control,0,7,8
2951,control,0,10,12
2952,treatment,1,3,6
2953,treatment,1,7,9.2
2954,control,0,1,2
2955,control,0,3,4
2956,treatment,1,4,5
2957,treatment,1,1,4
2958,treatment,1,4,6.2
2959,control,0,9,11.2
2960,control,0,3,5
2961,control,0,8,11.2
2962,control,0,1,2
2963,control,0,9,11
2964,treatment,1,4,5.2
2965,control,0,2,5
2966,treatment,1,11,13.2
2967,treatment,1,7,8
2968,treatment,1,11,14.2
2969,control,0,2,5.2
2970,control,0,11,12.2
2971,control,0,6,9
2972,treatment,1,8,10.2
2973,treatment,1,2,4.2
2974,treatment,1,4,5
2975,control,0,8,11
2976,control,0,3,4.2
2977,control,0,10,11.2
2978,control,0,11,12.2
2979,treatment,1,9,10.2
2980,treatment,1,5,7
2981,treatment,1,8,11.2
2982,control,0,4,7.2
2983,control,0,4,7
2984,treatment,1,5,7
2985,treatment,1,3,6.2
2986,treatment,1,1,2
2987,control,0,3,5.2
2988,treatment,1,11,13.2
2989,treatment,1,4,6.2
2990,treatment,1,5,7.2
2991,control,0,4,5.2
2992,treatment,1,9,11.2
2993,control,0,5,7
2994,control,0,7,9.2
2995,control,0,5,7
2996,treatment,1,8,9
2997,control,0,6,9
2998,control,0,3,6.2
2999,control,0,10,13
3000,treatment,1,9,10
3001,treatment,1,2,5.2
3002,control,0,5,7.2
3003,treatment,1,11,13.2
3004,control,0,2,5.2
3005,control,0,7,10
3006,control,0,11,13.2
3007,treatment,1,7,10.2
3008,treatment,1,7,9
3009,control,0,1,3
3010,control,0,9,12.2
3011,control,0,9,10.2
3012,control,0,9,11
3013,treatment,1,9,10
3014,treatment,1,2,5
3015,control,0,7,10
3016,treatment,1,2,3
3017,control,0,10,13
3018,treatment,1,9,11
3019,control,0,4,6.2
3020,control,0,4,7.2
3021,treatment,1,9,11
3022,control,0,8,10.2
3023,treatment,1,4,7
3024,control,0,7,9.2
3025,control,0,4,5.2
3026,control,0,9,10
3027,treatment,1,7,10
3028,control,0,6,9
3029,treatment,1,6,7.2
3030,treatment,1,4,5
3031,control,0,11,12.2
3032,treatment,1,3,6
3033,control,0,2,3
3034,control,0,2,3.2
3035,control,0,3,4
3036,treatment,1,10,12
3037,control,0,7,9
3038,control,0,10,12
3039,treatment,1,3,4.2
3040,control,0,10,11.2
3041,control,0,4,6.2
3042,treatment,1,2,4.2
3043,treatment,1,9,12
3044,treatment,1,10,13.2
3045,treatment,1,11,14.2
3046,treatment,1,10,12
3047,treatment,1,3,6.2
3048,treatment,1,2,3.2
3049,control,0,4,5
3050,control,0,8,9
3051,treatment,1,9,12.2
3052,treatment,1,1,4
3053,control,0,9,10.2
3054,treatment,1,4,6.2
3055,control,0,3,4.2
3056,control,0,8,10
3057,treatment,1,5,7.2
3058,control,0,10,13
3059,control,0,11,14.2
3060,treatment,1,6,9
3061,control,0,10,11
3062,control,0,8,11.2
3063,control,0,10,11.2
3064,control,0,4,6.2
3065,treatment,1,8,9.2
3066,control,0,2,4
3067,treatment,1,1,3
3068,treatment,1,6,7
3069,control,0,1,4
3070,control,0,5,6
3071,treatment,1,6,8
3072,treatment,1,8,11
3073,treatment,1,9,10.2
3074,control,0,7,9.2
3075,control,0,6,8
3076,control,0,5,6
3077,treatment,1,8,11
3078,treatment,1,4,6.2
3079,control,0,10,11.2
3080,control,0,6,7
3081,treatment,1,1,4
3082,control,0,11,14.2
3083,treatment,1,7,10.2
3084,control,0,6,7
3085,control,0,10,11.2
3086,treatment,1,7,9.2
3087,treatment,1,6,9
3088,treatment,1,8,11
3089,treatment,1,9,12.2
3090,treatment,1,4,5
3091,treatment,1,4,7
3092,treatment,1,9,10.2
3093,treatment,1,10,11.2
3094,treatment,1,4,5.2
3095,treatment,1,8,9
3096,control,0,7,8
3097,control,0,3,4
3098,treatment,1,7,10
3099,treatment,1,3,5
3100,treatment,1,3,5.2
3101,treatment,1,2,3.2
3102,control,0,6,7
3103,control,0,10,12.2
3104,treatment,1,6,7.2
3105,control,0,10,12.2
3106,control,0,5,7.2
3107,treatment,1,8,11.2
3108,control,0,5,8.2
3109,treatment,1,8,11
3110,control,0,7,8
3111,treatment,1,6,7.2
3112,treatment,1,10,13.2
3113,control,0,2,4
3114,treatment,1,3,5
3115,treatment,1,4,5
3116,control,0,2,3
3117,treatment,1,9,12
3118,treatment,1,10,12
3119,treatment,1,9,11
3120,treatment,1,5,6.2
3121,treatment,1,4,7
3122,treatment,1,9,12
3123,treatment,1,7,8.2
3124,treatment,1,4,5.2
3125,control,0,3,4.2
3126,treatment,1,4,7
3127,control,0,5,7.2
3128,control,0,8,9.2
3129,control,0,6,9.2
3130,treatment,1,2,4
3131,control,0,10,13.2
3132,treatment,1,10,12
3133,control,0,3,6.2
3134,control,0,2,5
3135,treatment,1,3,4
3136,control,0,8,11.2
3137,treatment,1,5,8
3138,control,0,7,8
3139,control,0,9,12.2
3140,control,0,1,3
3141,control,0,10,12.2
3142,treatment,1,1,4
3143,control,0,4,5
3144,treatment,1,5,8.2
3145,control,0,8,9
3146,control,0,2,5.2
3147,control,0,9,12.2
3148,control,0,3,5
3149,treatment,1,3,4.2
3150,treatment,1,11,12.2
3151,control,0,8,10.2
3152,control,0,10,11.2
3153,control,0,3,4
3154,treatment,1,5,8.2
3155,treatment,1,8,11
3156,treatment,1,1,4
3157,treatment,1,3,5.2
3158,treatment,1,3,6.2
3159,treatment,1,1,2
3160,treatment,1,7,9
3161,treatment,1,5,7
3162,treatment,1,6,7.2
3163,control,0,7,9
3164,control,0,10,13.2
3165,treatment,1,6,8.2
3166,control,0,7,9
3167,treatment,1,9,12.2
3168,treatment,1,10,12
3169,treatment,1,8,10
3170,treatment,1,8,9.2
3171,treatment,1,8,9.2
3172,control,0,3,6
3173,control,0,5,8.2
3174,control,0,4,5
3175,treatment,1,6,9
3176,treatment,1,4,5
3177,treatment,1,5,7
3178,treatment,1,2,3.2
3179,control,0,3,4
3180,treatment,1,9,12.2
3181,control,0,7,10.2
3182,control,0,2,4.2
3183,treatment,1,8,11
3184,treatment,1,1,3
3185,control,0,8,11
3186,control,0,10,11.2
3187,control,0,9,12
3188,control,0,8,9.2
3189,control,0,10,12.2
3190,treatment,1,10,11
3191,control,0,8,11.2
3192,control,0,2,5
3193,treatment,1,10,11
3194,control,0,9,11
3195,treatment,1,4,7.2
3196,control,0,4,7
3197,control,0,7,10.2
3198,control,0,6,9
3199,control,0,11,13.2
3200,treatment,1,7,8.2
3201,control,0,6,8.2
3202,treatment,1,2,4.2
3203,treatment,1,7,8.2
3204,treatment,1,6,9.2
3205,treatment,1,7,8
3206,treatment,1,3,6
3207,control,0,11,14.2
3208,control,0,9,12.2
3209,control,0,9,11.2
3210,treatment,1,8,9.2
3211,control,0,8,9
3212,control,0,2,5
3213,treatment,1,6,7
3214,treatment,1,5,8
3215,treatment,1,1,4
3216,control,0,7,9
3217,control,0,3,6
3218,control,0,8,10.2
3219,control,0,8,10
3220,treatment,1,6,7.2
3221,control,0,3,4
3222,control,0,6,7
3223,control,0,8,10
3224,control,0,4,5.2
3225,treatment,1,8,11
3226,control,0,8,11
3227,treatment,1,5,8
3228,control,0,6,9.2
3229,treatment,1,2,4.2
3230,treatment,1,5,7
3231,treatment,1,2,4.2
3232,control,0,10,12.2
3233,control,0,6,8.2
3234,treatment,1,9,11
3235,treatment,1,3,4
3236,control,0,1,2
3237,control,0,5,6
3238,treatment,1,9,12
3239,control,0,8,10
3240,control,0,11,12.2
3241,control,0,10,13
3242,control,0,8,10
3243,treatment,1,2,4
3244,control,0,2,4.2
3245,treatment,1,7,9
3246,treatment,1,3,4.2
3247,control,0,11,13.2
3248,control,0,9,10.2
3249,treatment,1,11,12.2
3250,treatment,1,5,6.2
3251,treatment,1,8,9.2
3252,control,0,7,9.2
3253,treatment,1,9,10
3254,treatment,1,5,7.2
3255,treatment,1,5,8
3256,control,0,1,2
3257,treatment,1,1,4
3258,treatment,1,3,4.2
3259,treatment,1,7,8
3260,treatment,1,11,12.2
3261,control,0,4,5.2
3262,control,0,8,10.2
3263,treatment,1,3,4.2
3264,control,0,3,4
3265,treatment,1,2,4.2
3266,control,0,10,13
3267,control,0,10,13
3268,control,0,5,7.2
3269,treatment,1,3,4
3270,control,0,1,3
3271,treatment,1,5,8.2
3272,treatment,1,3,4.2
3273,treatment,1,4,7.2
3274,control,0,9,12
3275,treatment,1,5,7
3276,treatment,1,2,5
3277,treatment,1,11,13.2
3278,control,0,5,7
3279,control,0,3,5
3280,treatment,1,7,8.2
3281,treatment,1,6,7
3282,treatment,1,2,4
3283,control,0,2,4
3284,treatment,1,9,11
3285,treatment,1,7,9.2
3286,treatment,1,10,12
3287,control,0,9,10.2
3288,treatment,1,4,6.2
3289,treatment,1,8,9
3290,control,0,3,5.2
3291,control,0,6,8
3292,control,0,6,8.2
3293,control,0,5,8.2
3294,control,0,6,8
3295,treatment,1,7,9
3296,control,0,2,5
3297,control,0,7,8
3298,treatment,1,9,11.2
3299,control,0,5,6.2
3300,control,0,4,6.2
3301,control,0,4,5
3302,control,0,9,10.2
3303,control,0,3,4
3304,control,0,2,4.2
3305,control,0,6,9
3306,control,0,6,7
3307,treatment,1,10,13
3308,control,0,2,5
3309,treatment,1,11,13.2
3310,treatment,1,8,9
3311,treatment,1,2,5
3312,control,0,6,9.2
3313,treatment,1,5,7
3314,treatment,1,11,13.2
3315,treatment,1,10,12
3316,control,0,8,9.2
3317,treatment,1,2,4
3318,control,0,9,10.2
3319,control,0,3,6
3320,treatment,1,7,10
3321,treatment,1,10,13
3322,control,0,7,8
3323,treatment,1,6,9
3324,control,0,9,11.2
3325,control,0,4,5.2
3326,control,0,8,11.2
3327,treatment,1,3,6.2
3328,treatment,1,4,7.2
3329,treatment,1,8,10
3330,control,0,8,10
3331,control,0,2,4.2
3332,control,0,9,11.2
3333,control,0,4,5.2
3334,control,0,10,11.2
3335,control,0,4,5
3336,treatment,1,10,13
3337,control,0,4,7.2
3338,control,0,11,13.2
3339,treatment,1,10,13
3340,treatment,1,3,6
3341,treatment,1,3,5.2
3342,control,0,8,9
3343,treatment,1,11,14.2
3344,treatment,1,8,11
3345,treatment,1,9,11.2
3346,treatment,1,5,7.2
3347,control,0,5,8.2
3348,treatment,1,7,9.2
3349,treatment,1,6,8.2
3350,control,0,9,10
3351,control,0,4,5
3352,control,0,5,8.2
3353,treatment,1,7,8.2
3354,treatment,1,8,11
3355,treatment,1,4,7
3356,control,0,11,12.2
3357,control,0,2,5
3358,treatment,1,6,8
3359,treatment,1,4,7
3360,control,0,1,2
3361,treatment,1,9,10.2
3362,control,0,5,8.2
3363,control,0,10,11
3364,treatment,1,8,9
3365,control,0,5,6.2
3366,control,0,1,3
3367,control,0,8,11.2
3368,control,0,5,8
3369,control,0,4,7.2
3370,control,0,8,11
3371,control,0,3,6
3372,treatment,1,3,5.2
3373,control,0,4,7.2
3374,treatment,1,1,2
3375,control,0,7,10.2
3376,control,0,6,7
3377,control,0,10,11
3378,treatment,1,8,11.2
3379,treatment,1,2,4
3380,treatment,1,10,13
3381,control,0,9,11
3382,treatment,1,2,4
3383,treatment,1,6,9
3384,treatment,1,9,10
3385,control,0,3,5
3386,treatment,1,11,13.2
3387,treatment,1,8,9.2
3388,control,0,9,10.2
3389,control,0,8,10
3390,control,0,8,10.2
3391,control,0,4,7
3392,treatment,1,4,5
3393,treatment,1,7,10.2
3394,control,0,10,12.2
3395,treatment,1,10,12
3396,control,0,6,8.2
3397,treatment,1,11,12.2
3398,control,0,3,5
3399,control,0,8,11
3400,treatment,1,11,14.2
3401,treatment,1,4,5.2
3402,control,0,9,10.2
3403,control,0,4,7.2
3404,treatment,1,7,8
3405,treatment,1,7,9
3406,treatment,1,7,9
3407,treatment,1,2,3.2
3408,control,0,9,11.2
3409,control,0,4,5
3410,control,0,1,2
3411,treatment,1,1,4
3412,control,0,1,2
3413,control,0,7,9
3414,control,0,9,12.2
3415,control,0,4,7
3416,control,0,5,8.2
3417,treatment,1,10,12.2
3418,control,0,10,13.2
3419,control,0,3,5
3420,control,0,2,4.2
3421,treatment,1,11,12.2
3422,treatment,1,2,3.2
3423,treatment,1,6,7
3424,treatment,1,5,6
3425,control,0,4,5.2
3426,treatment,1,3,5.2
3427,control,0,11,14.2
3428,treatment,1,7,9
3429,control,0,2,4.2
3430,treatment,1,2,3
3431,control,0,5,8.2
3432,control,0,6,9.2
3433,control,0,11,12.2
3434,control,0,4,6.2
3435,treatment,1,2,3
3436,treatment,1,1,4
3437,treatment,1,11,14.2
3438,control,0,2,5.2
3439,treatment,1,7,9.2
3440,control,0,3,4.2
3441,treatment,1,7,10
3442,treatment,1,6,8
3443,control,0,4,5.2
3444,control,0,10,12
3445,treatment,1,10,11
3446,control,0,11,14.2
3447,treatment,1,5,6.2
3448,treatment,1,2,4.2
3449,treatment,1,6,8
3450,control,0,9,10.2
3451,treatment,1,2,3
3452,control,0,6,9
3453,treatment,1,11,12.2
3454,treatment,1,3,6
3455,control,0,7,8
3456,treatment,1,10,13.2
3457,treatment,1,5,7.2
3458,treatment,1,5,8
3459,treatment,1,1,3
3460,control,0,9,10
3461,treatment,1,6,7
3462,treatment,1,4,6
3463,treatment,1,4,5.2
3464,treatment,1,9,11.2
3465,control,0,5,6.2
3466,control,0,10,13.2
3467,control,0,2,3
3468,treatment,1,2,3
3469,treatment,1,1,2
3470,control,0,9,11.2
3471,control,0,7,10.2
3472,control,0,2,4
3473,treatment,1,8,10
3474,treatment,1,3,6.2
3475,treatment,1,10,11
3476,control,0,8,11.2
3477,treatment,1,4,7
3478,treatment,1,6,8
3479,control,0,6,9.2
3480,control,0,3,5
3481,treatment,1,2,5
3482,treatment,1,3,4
3483,control,0,5,8.2
3484,control,0,8,11.2
3485,control,0,7,9.2
3486,control,0,9,10
3487,treatment,1,9,11.2
3488,control,0,7,10
3489,control,0,11,12.2
3490,treatment,1,10,12.2
3491,treatment,1,7,9
3492,control,0,9,11
3493,treatment,1,3,5.2
3494,control,0,2,4.2
3495,treatment,1,10,11
3496,treatment,1,2,4
3497,treatment,1,3,5
3498,treatment,1,8,10.2
3499,control,0,7,10.2
3500,treatment,1,8,11
3501,control,0,2,5.2
3502,treatment,1,5,7
3503,control,0,2,3.2
3504,control,0,7,8
3505,control,0,3,4.2
3506,treatment,1,5,6.2
3507,treatment,1,11,12.2
3508,control,0,4,7.2
3509,treatment,1,4,7.2
3510,control,0,4,5
3511,treatment,1,9,11
3512,control,0,4,7.2
3513,control,0,10,11.2
3514,control,0,1,4
3515,treatment,1,11,12.2
3516,treatment,1,9,10.2
3517,treatment,1,5,8
3518,control,0,5,7
3519,treatment,1,9,11
3520,treatment,1,9,12.2
3521,treatment,1,8,10
3522,control,0,1,4
3523,control,0,4,5.2
3524,control,0,2,3.2
3525,control,0,8,11.2
3526,control,0,2,3.2
3527,control,0,8,11.2
3528,treatment,1,5,6.2
3529,control,0,8,10.2
3530,control,0,7,8
3531,control,0,6,7
3532,control,0,8,11
3533,treatment,1,2,4
3534,treatment,1,4,7
3535,treatment,1,8,9
3536,treatment,1,6,9
3537,treatment,1,7,9.2
3538,treatment,1,9,10.2
3539,treatment,1,5,6.2
3540,control,0,5,6.2
3541,treatment,1,9,11
3542,treatment,1,5,8
3543,treatment,1,10,11
3544,control,0,8,9
3545,control,0,11,12.2
3546,control,0,4,6
3547,treatment,1,10,13
3548,treatment,1,6,7.2
3549,control,0,8,10.2
3550,control,0,2,4
3551,treatment,1,4,6.2
3552,treatment,1,1,4
3553,control,0,2,5.2
3554,treatment,1,4,6
3555,treatment,1,11,13.2
3556,control,0,9,11
3557,control,0,6,9.2
3558,control,0,1,4
3559,control,0,11,12.2
3560,treatment,1,9,12.2
3561,treatment,1,8,10
3562,control,0,9,10.2
3563,control,0,10,13.2
3564,treatment,1,1,2
3565,control,0,3,4
3566,treatment,1,8,11
3567,control,0,9,11
3568,treatment,1,5,7
3569,control,0,9,10.2
3570,control,0,10,11
3571,control,0,2,4.2
3572,treatment,1,6,8
3573,control,0,6,9
3574,control,0,7,10.2
3575,treatment,1,8,10
3576,treatment,1,7,8
3577,treatment,1,2,3.2
3578,control,0,4,6
3579,control,0,9,12.2
3580,treatment,1,9,12
3581,control,0,4,5.2
3582,treatment,1,9,10.2
3583,control,0,9,12.2
3584,control,0,1,4
3585,control,0,3,4.2
3586,treatment,1,10,13
3587,control,0,9,11
3588,control,0,2,4.2
3589,control,0,9,10.2
3590,control,0,3,6
3591,treatment,1,9,12
3592,treatment,1,2,3.2
3593,treatment,1,10,12
3594,treatment,1,5,8.2
3595,control,0,5,7.2
3596,control,0,4,7.2
3597,treatment,1,2,5
3598,control,0,1,3
3599,control,0,8,10.2
3600,control,0,8,11.2
3601,control,0,10,13
3602,treatment,1,3,6
3603,treatment,1,7,8
3604,treatment,1,5,7.2
3605,control,0,5,6
3606,control,0,2,5.2
3607,treatment,1,4,7.2
3608,control,0,4,7.2
3609,control,0,4,5
3610,treatment,1,5,8.2
3611,control,0,3,5.2
3612,treatment,1,6,7.2
3613,control,0,1,2
3614,control,0,6,7
3615,control,0,4,5
3616,control,0,4,7
3617,treatment,1,6,7
3618,treatment,1,7,9.2
3619,control,0,3,4
3620,treatment,1,3,4.2
3621,treatment,1,3,5
3622,control,0,8,10.2
3623,treatment,1,1,4
3624,control,0,10,11.2
3625,treatment,1,11,13.2
3626,control,0,3,4.2
3627,treatment,1,10,13
3628,control,0,7,9.2
3629,control,0,6,7
3630,treatment,1,9,12.2
3631,treatment,1,11,13.2
3632,control,0,1,2
3633,control,0,11,12.2
3634,control,0,4,5.2
3635,treatment,1,11,14.2
3636,treatment,1,6,7
3637,control,0,9,12.2
3638,control,0,10,11
3639,control,0,6,8
3640,control,0,2,5
3641,treatment,1,5,8.2
3642,treatment,1,8,10
3643,control,0,10,12
3644,treatment,1,11,12.2
3645,control,0,6,8
3646,treatment,1,3,6
3647,treatment,1,4,7.2
3648,treatment,1,5,6
3649,treatment,1,3,4
3650,control,0,1,2
3651,control,0,10,13.2
3652,treatment,1,4,5.2
3653,control,0,8,9
3654,control,0,7,10.2
3655,treatment,1,6,7.2
3656,treatment,1,1,3
3657,control,0,3,5.2
3658,treatment,1,2,5
3659,treatment,1,8,9
3660,treatment,1,9,12.2
3661,control,0,7,10.2
3662,control,0,10,13.2
3663,treatment,1,11,13.2
3664,treatment,1,8,11.2
3665,treatment,1,9,10.2
3666,treatment,1,4,5.2
3667,treatment,1,7,8
3668,control,0,5,7.2
3669,control,0,6,8
3670,control,0,6,9
3671,treatment,1,5,7
3672,control,0,8,11.2
3673,control,0,7,9.2
3674,treatment,1,8,11
3675,control,0,4,6
3676,treatment,1,9,12
3677,control,0,3,6.2
3678,treatment,1,3,6
3679,control,0,10,13.2
3680,treatment,1,8,9.2
3681,control,0,10,11
3682,treatment,1,7,8.2
3683,control,0,9,11
3684,control,0,2,4
3685,control,0,3,4
3686,treatment,1,10,11.2
3687,control,0,3,5.2
3688,treatment,1,11,12.2
3689,control,0,8,11
3690,control,0,10,13.2
3691,control,0,8,10.2
3692,treatment,1,5,7
3693,treatment,1,7,10.2
3694,control,0,10,13.2
3695,control,0,10,13.2
3696,treatment,1,3,6.2
3697,treatment,1,6,8.2
3698,treatment,1,8,10.2
3699,treatment,1,4,5.2
3700,control,0,10,12
3701,control,0,1,2
3702,control,0,10,12
3703,control,0,8,10.2
3704,control,0,3,6
3705,control,0,8,11
3706,treatment,1,7,10.2
3707,control,0,9,10.2
3708,treatment,1,4,5.2
3709,treatment,1,3,6.2
3710,control,0,4,5.2
3711,control,0,5,8.2
3712,treatment,1,11,12.2
3713,control,0,6,8.2
