id,group,group_dummy,Y0,Y1
2439,treatment,1,4,6.2
2440,control,0,6,9
2441,control,0,2,3
2442,treatment,1,6,9.2
2443,control,0,1,4
2444,control,0,9,10
2445,treatment,1,3,5.2
2446,treatment,1,11,13.2
2447,treatment,1,2,4.2
2448,control,0,2,4
2449,control,0,6,9
2450,treatment,1,6,8.2
2451,control,0,7,10
2452,treatment,1,9,12.2
2453,control,0,8,9
2454,treatment,1,8,9.2
2455,treatment,1,6,7.2
2456,control,0,7,9
2457,treatment,1,2,3.2
2458,control,0,2,5
2459,control,0,1,2
2460,control,0,6,9
2461,control,0,9,12
2462,treatment,1,10,11.2
2463,treatment,1,8,11.2
2464,control,0,4,6
2465,control,0,4,5
2466,treatment,1,6,7.2
2467,control,0,8,9
2468,control,0,1,4
2469,treatment,1,6,8.2
2470,treatment,1,8,10.2
2471,control,0,9,12
2472,treatment,1,3,6.2
2473,control,0,2,3
2474,control,0,6,9
2475,treatment,1,3,5.2
2476,control,0,3,5
2477,control,0,4,6
2478,control,0,3,4
2479,treatment,1,11,12.2
2480,treatment,1,5,7.2
2481,control,0,10,11
2482,control,0,5,6
2483,treatment,1,8,10.2
2484,treatment,1,7,9.2
2485,treatment,1,11,12.2
2486,treatment,1,8,11.2
2487,treatment,1,11,14.2
2488,control,0,10,11
2489,treatment,1,5,8.2
2490,treatment,1,2,3.2
2491,control,0,8,11
2492,control,0,4,7
2493,control,0,9,12
2494,treatment,1,3,6.2
2495,control,0,8,11
2496,control,0,1,4
2497,treatment,1,5,8.2
2498,treatment,1,10,12.2
2499,treatment,1,11,13.2
2500,control,0,7,9
2501,control,0,10,12
2502,treatment,1,7,10.2
2503,treatment,1,4,5.2
2504,control,0,8,11
2505,control,0,2,5
2506,control,0,4,5
2507,control,0,7,9
2508,treatment,1,11,14.2
2509,treatment,1,11,13.2
2510,control,0,6,7
2511,treatment,1,8,9.2
2512,treatment,1,6,8.2
2513,treatment,1,7,8.2
2514,treatment,1,2,4.2
2515,control,0,8,9
2516,control,0,6,8
2517,treatment,1,5,6.2
2518,control,0,8,10
2519,treatment,1,9,10.2
2520,control,0,1,3
2521,control,0,2,3
2522,treatment,1,5,8.2
2523,control,0,5,6
2524,treatment,1,4,7.2
2525,treatment,1,8,10.2
2526,treatment,1,2,5.2
2527,control,0,10,11
2528,treatment,1,7,8.2
2529,treatment,1,8,10.2
2530,control,0,5,6
2531,control,0,6,7
2532,control,0,2,3
2533,control,0,7,8
2534,treatment,1,5,6.2
2535,treatment,1,8,9.2
2536,treatment,1,3,5.2
2537,treatment,1,10,12.2
2538,control,0,9,11
2539,treatment,1,4,7.2
2540,control,0,3,6
2541,treatment,1,11,14.2
2542,control,0,9,10
2543,treatment,1,9,12.2
2544,control,0,9,10
2545,control,0,5,7
2546,treatment,1,8,11.2
2547,treatment,1,4,7.2
2548,control,0,7,9
2549,control,0,8,11
2550,control,0,10,11
2551,treatment,1,3,5.2
2552,control,0,9,12
2553,treatment,1,8,9.2
2554,control,0,10,11
2555,treatment,1,4,6.2
2556,treatment,1,4,6.2
2557,treatment,1,8,10.2
2558,treatment,1,3,5.2
2559,treatment,1,8,10.2
2560,treatment,1,5,6.2
2561,control,0,3,6
2562,treatment,1,8,10.2
2563,control,0,8,11
2564,treatment,1,6,7.2
2565,control,0,5,8
2566,control,0,5,8
2567,control,0,7,9
2568,control,0,10,13
2569,treatment,1,4,6.2
2570,control,0,8,10
2571,treatment,1,6,9.2
2572,treatment,1,10,11.2
2573,treatment,1,8,10.2
2574,control,0,3,6
2575,treatment,1,11,13.2
2576,treatment,1,10,11.2
2577,control,0,6,8
2578,control,0,1,2
2579,control,0,8,9
2580,control,0,3,6
2581,control,0,3,5
2582,control,0,10,12
2583,treatment,1,5,7.2
2584,treatment,1,4,5.2
2585,control,0,10,11
2586,control,0,5,7
2587,treatment,1,9,11.2
2588,control,0,7,10
2589,control,0,8,11
2590,control,0,1,3
2591,treatment,1,7,8.2
2592,control,0,10,11
2593,treatment,1,9,12.2
2594,control,0,2,4
2595,treatment,1,3,5.2
2596,control,0,3,6
2597,control,0,5,7
2598,control,0,2,5
2599,treatment,1,11,12.2
2600,control,0,1,3
2601,control,0,9,12
2602,treatment,1,8,11.2
2603,control,0,9,11
2604,treatment,1,4,6.2
2605,treatment,1,2,4.2
2606,treatment,1,5,7.2
2607,treatment,1,3,4.2
2608,control,0,3,4
2609,treatment,1,4,6.2
2610,control,0,4,6
2611,treatment,1,8,10.2
2612,treatment,1,10,12.2
2613,control,0,7,8
2614,treatment,1,11,14.2
2615,treatment,1,7,8.2
2616,control,0,7,8
2617,treatment,1,9,11.2
2618,control,0,10,13
2619,control,0,6,7
2620,control,0,8,9
2621,control,0,8,9
2622,control,0,2,5
2623,control,0,8,10
2624,treatment,1,3,4.2
2625,treatment,1,7,9.2
2626,control,0,1,3
2627,treatment,1,8,11.2
2628,treatment,1,9,12.2
2629,treatment,1,9,12.2
2630,control,0,7,8
2631,control,0,2,5
2632,treatment,1,3,5.2
2633,treatment,1,8,10.2
2634,treatment,1,7,8.2
2635,treatment,1,6,9.2
2636,treatment,1,4,6.2
2637,control,0,10,11
2638,control,0,4,6
2639,treatment,1,6,9.2
2640,treatment,1,3,5.2
2641,control,0,3,4
2642,treatment,1,8,9.2
2643,treatment,1,8,10.2
2644,control,0,7,10
2645,control,0,6,7
2646,treatment,1,3,4.2
2647,treatment,1,3,6.2
2648,treatment,1,10,13.2
2649,control,0,10,11
2650,control,0,6,7
2651,treatment,1,8,10.2
2652,treatment,1,5,6.2
2653,treatment,1,7,9.2
2654,control,0,7,9
2655,control,0,2,3
2656,control,0,9,12
2657,treatment,1,6,9.2
2658,control,0,10,13
2659,control,0,7,8
2660,treatment,1,11,14.2
2661,control,0,9,10
2662,control,0,6,9
2663,treatment,1,6,7.2
2664,treatment,1,5,7.2
2665,treatment,1,5,8.2
2666,treatment,1,4,6.2
2667,control,0,10,13
2668,control,0,8,9
2669,control,0,9,11
2670,control,0,8,9
2671,treatment,1,6,7.2
2672,treatment,1,9,12.2
2673,control,0,3,4
2674,treatment,1,8,9.2
2675,control,0,9,12
2676,treatment,1,8,11.2
2677,control,0,2,5
2678,treatment,1,8,9.2
2679,treatment,1,11,14.2
2680,control,0,1,3
2681,control,0,4,7
2682,control,0,8,10
2683,control,0,10,13
2684,control,0,10,11
2685,treatment,1,11,12.2
2686,treatment,1,8,9.2
2687,treatment,1,2,3.2
2688,control,0,10,13
2689,treatment,1,3,6.2
2690,control,0,8,10
2691,control,0,3,5
2692,treatment,1,10,11.2
2693,control,0,10,11
2694,treatment,1,11,13.2
2695,control,0,6,7
2696,control,0,7,10
2697,treatment,1,6,7.2
2698,treatment,1,4,7.2
2699,control,0,6,8
2700,control,0,3,5
2701,treatment,1,6,9.2
2702,control,0,1,4
2703,control,0,9,11
2704,treatment,1,6,9.2
2705,treatment,1,10,13.2
2706,control,0,1,3
2707,control,0,5,6
2708,control,0,4,7
2709,treatment,1,5,8.2
2710,control,0,7,10
2711,control,0,6,9
2712,treatment,1,10,13.2
2713,control,0,3,6
2714,control,0,10,11
2715,treatment,1,8,11.2
2716,treatment,1,4,7.2
2717,treatment,1,9,10.2
2718,treatment,1,11,13.2
2719,control,0,7,10
2720,treatment,1,9,11.2
2721,control,0,3,4
2722,treatment,1,5,7.2
2723,treatment,1,5,6.2
2724,control,0,8,10
2725,treatment,1,7,8.2
2726,control,0,2,5
2727,control,0,2,5
2728,treatment,1,7,9.2
2729,treatment,1,10,13.2
2730,treatment,1,6,8.2
2731,control,0,5,6
2732,treatment,1,2,5.2
2733,treatment,1,11,14.2
2734,control,0,2,5
2735,treatment,1,2,5.2
2736,treatment,1,2,5.2
2737,treatment,1,3,5.2
2738,treatment,1,8,11.2
2739,control,0,3,6
2740,control,0,8,10
2741,control,0,5,6
2742,control,0,10,11
2743,control,0,3,5
2744,control,0,10,12
2745,control,0,10,12
2746,treatment,1,9,11.2
2747,treatment,1,10,12.2
2748,treatment,1,11,14.2
2749,treatment,1,5,7.2
2750,control,0,9,10
2751,treatment,1,3,4.2
2752,control,0,2,3
2753,treatment,1,10,13.2
2754,treatment,1,4,6.2
2755,treatment,1,2,4.2
2756,treatment,1,2,3.2
2757,control,0,8,9
2758,control,0,1,2
2759,treatment,1,9,11.2
2760,control,0,4,5
2761,treatment,1,2,3.2
2762,treatment,1,11,14.2
2763,treatment,1,11,14.2
2764,control,0,9,11
2765,control,0,4,6
2766,treatment,1,5,8.2
2767,treatment,1,11,13.2
2768,treatment,1,2,5.2
2769,treatment,1,8,11.2
2770,treatment,1,8,9.2
2771,treatment,1,11,12.2
2772,treatment,1,4,6.2
2773,control,0,9,11
2774,control,0,6,9
2775,control,0,1,3
2776,treatment,1,10,13.2
2777,treatment,1,6,7.2
2778,treatment,1,2,5.2
2779,control,0,9,11
2780,treatment,1,9,11.2
2781,treatment,1,3,5.2
2782,treatment,1,6,7.2
2783,treatment,1,9,12.2
2784,control,0,2,4
2785,control,0,7,9
2786,treatment,1,4,6.2
2787,treatment,1,8,11.2
2788,control,0,6,9
2789,treatment,1,10,12.2
2790,control,0,10,13
2791,treatment,1,7,8.2
2792,treatment,1,5,7.2
2793,treatment,1,8,9.2
2794,treatment,1,10,11.2
2795,control,0,8,10
2796,treatment,1,8,11.2
2797,control,0,2,4
2798,treatment,1,9,12.2
2799,control,0,5,6
2800,treatment,1,10,12.2
2801,control,0,3,6
2802,control,0,10,11
2803,control,0,7,8
2804,treatment,1,5,6.2
2805,control,0,4,7
2806,control,0,6,7
2807,control,0,4,7
2808,treatment,1,2,4.2
2809,treatment,1,2,5.2
2810,control,0,7,10
2811,control,0,4,6
2812,control,0,2,5
2813,control,0,4,7
2814,control,0,6,9
2815,control,0,8,10
2816,control,0,8,10
2817,control,0,7,9
2818,control,0,3,4
2819,treatment,1,6,8.2
2820,treatment,1,3,6.2
2821,treatment,1,6,9.2
2822,control,0,7,9
2823,control,0,7,9
2824,treatment,1,10,13.2
2825,control,0,9,11
2826,control,0,10,13
2827,control,0,8,10
2828,treatment,1,10,13.2
2829,treatment,1,8,11.2
2830,treatment,1,11,12.2
2831,treatment,1,2,4.2
2832,treatment,1,6,8.2
2833,treatment,1,10,11.2
2834,treatment,1,2,3.2
2835,control,0,5,8
2836,treatment,1,2,5.2
2837,treatment,1,10,11.2
2838,treatment,1,8,10.2
2839,control,0,10,12
2840,treatment,1,9,10.2
2841,treatment,1,9,11.2
2842,control,0,8,11
2843,treatment,1,5,8.2
2844,treatment,1,6,8.2
2845,treatment,1,10,12.2
2846,treatment,1,8,11.2
2847,treatment,1,5,6.2
2848,treatment,1,10,13.2
2849,control,0,2,4
2850,control,0,1,3
2851,treatment,1,8,11.2
2852,control,0,10,12
2853,control,0,5,8
2854,control,0,7,10
2855,control,0,3,5
2856,treatment,1,3,5.2
2857,control,0,2,5
2858,treatment,1,9,11.2
2859,treatment,1,10,13.2
2860,treatment,1,6,7.2
2861,control,0,8,11
2862,treatment,1,10,12.2
2863,treatment,1,11,13.2
2864,treatment,1,7,8.2
2865,treatment,1,10,11.2
2866,control,0,3,4
2867,control,0,3,5
2868,treatment,1,9,10.2
2869,control,0,9,10
2870,control,0,4,7
2871,treatment,1,3,5.2
2872,control,0,2,5
2873,control,0,1,2
2874,treatment,1,3,6.2
2875,control,0,2,5
2876,treatment,1,7,8.2
2877,control,0,7,10
2878,treatment,1,10,11.2
2879,control,0,10,12
2880,treatment,1,8,10.2
2881,control,0,4,7
2882,treatment,1,6,9.2
2883,control,0,1,3
2884,control,0,5,7
2885,control,0,7,10
2886,treatment,1,10,11.2
2887,control,0,5,6
2888,control,0,4,7
2889,control,0,9,12
2890,treatment,1,4,6.2
2891,control,0,3,4
2892,treatment,1,5,7.2
2893,treatment,1,3,4.2
2894,control,0,8,9
2895,control,0,4,6
2896,control,0,5,7
2897,control,0,3,6
2898,treatment,1,11,12.2
2899,control,0,10,13
2900,control,0,9,12
2901,control,0,8,9
2902,control,0,4,6
2903,control,0,3,6
2904,control,0,10,11
2905,control,0,8,9
2906,treatment,1,6,8.2
2907,control,0,7,10
2908,treatment,1,11,13.2
2909,treatment,1,9,11.2
2910,control,0,2,3
2911,treatment,1,6,8.2
2912,treatment,1,7,10.2
2913,control,0,9,12
2914,treatment,1,3,6.2
2915,control,0,10,13
2916,treatment,1,5,8.2
2917,control,0,7,10
2918,control,0,7,9
2919,treatment,1,11,14.2
2920,treatment,1,5,8.2
2921,treatment,1,5,6.2
2922,control,0,1,2
2923,control,0,2,5
2924,control,0,4,7
2925,control,0,2,4
2926,treatment,1,7,9.2
2927,control,0,1,4
2928,control,0,6,7
2929,control,0,9,11
2930,treatment,1,9,12.2
2931,treatment,1,2,4.2
2932,treatment,1,5,8.2
2933,treatment,1,4,6.2
2934,treatment,1,11,13.2
2935,control,0,3,4
2936,control,0,4,7
2937,treatment,1,10,13.2
2938,treatment,1,6,7.2
2939,treatment,1,6,7.2
2940,control,0,4,6
2941,control,0,5,6
2942,treatment,1,2,5.2
2943,control,0,9,11
2944,control,0,8,11
2945,treatment,1,7,10.2
2946,control,0,7,10
2947,treatment,1,8,9.2
2948,control,0,3,4
2949,control,0,3,6
2950,control,0,7,8
2951,control,0,10,12
2952,control,0,3,6
2953,treatment,1,7,9.2
2954,control,0,1,2
2955,control,0,3,4
2956,control,0,4,5
2957,control,0,1,4
2958,treatment,1,4,6.2
2959,treatment,1,9,11.2
2960,control,0,3,5
2961,treatment,1,8,11.2
2962,control,0,1,2
2963,control,0,9,11
2964,treatment,1,4,5.2
2965,control,0,2,5
2966,treatment,1,11,13.2
2967,control,0,7,8
2968,treatment,1,11,14.2
2969,treatment,1,2,5.2
2970,treatment,1,11,12.2
2971,control,0,6,9
2972,treatment,1,8,10.2
2973,treatment,1,2,4.2
2974,control,0,4,5
2975,control,0,8,11
2976,treatment,1,3,4.2
2977,treatment,1,10,11.2
2978,treatment,1,11,12.2
2979,treatment,1,9,10.2
2980,control,0,5,7
2981,treatment,1,8,11.2
2982,treatment,1,4,7.2
2983,control,0,4,7
2984,control,0,5,7
2985,treatment,1,3,6.2
2986,control,0,1,2
2987,treatment,1,3,5.2
2988,treatment,1,11,13.2
2989,treatment,1,4,6.2
2990,treatment,1,5,7.2
2991,treatment,1,4,5.2
2992,treatment,1,9,11.2
2993,control,0,5,7
2994,treatment,1,7,9.2
2995,control,0,5,7
2996,control,0,8,9
2997,control,0,6,9
2998,treatment,1,3,6.2
2999,control,0,10,13
3000,control,0,9,10
3001,treatment,1,2,5.2
3002,treatment,1,5,7.2
3003,treatment,1,11,13.2
3004,treatment,1,2,5.2
3005,control,0,7,10
3006,treatment,1,11,13.2
3007,treatment,1,7,10.2
3008,control,0,7,9
3009,control,0,1,3
3010,treatment,1,9,12.2
3011,treatment,1,9,10.2
3012,control,0,9,11
3013,control,0,9,10
3014,control,0,2,5
3015,control,0,7,10
3016,control,0,2,3
3017,control,0,10,13
3018,control,0,9,11
3019,treatment,1,4,6.2
3020,treatment,1,4,7.2
3021,control,0,9,11
3022,treatment,1,8,10.2
3023,control,0,4,7
3024,treatment,1,7,9.2
3025,treatment,1,4,5.2
3026,control,0,9,10
3027,control,0,7,10
3028,control,0,6,9
3029,treatment,1,6,7.2
3030,control,0,4,5
3031,treatment,1,11,12.2
3032,control,0,3,6
3033,control,0,2,3
3034,treatment,1,2,3.2
3035,control,0,3,4
3036,control,0,10,12
3037,control,0,7,9
3038,control,0,10,12
3039,treatment,1,3,4.2
3040,treatment,1,10,11.2
3041,treatment,1,4,6.2
3042,treatment,1,2,4.2
3043,control,0,9,12
3044,treatment,1,10,13.2
3045,treatment,1,11,14.2
3046,control,0,10,12
3047,treatment,1,3,6.2
3048,treatment,1,2,3.2
3049,control,0,4,5
3050,control,0,8,9
3051,treatment,1,9,12.2
3052,control,0,1,4
3053,treatment,1,9,10.2
3054,treatment,1,4,6.2
3055,treatment,1,3,4.2
3056,control,0,8,10
3057,treatment,1,5,7.2
3058,control,0,10,13
3059,treatment,1,11,14.2
3060,control,0,6,9
3061,control,0,10,11
3062,treatment,1,8,11.2
3063,treatment,1,10,11.2
3064,treatment,1,4,6.2
3065,treatment,1,8,9.2
3066,control,0,2,4
3067,control,0,1,3
3068,control,0,6,7
3069,control,0,1,4
3070,control,0,5,6
3071,control,0,6,8
3072,control,0,8,11
3073,treatment,1,9,10.2
3074,treatment,1,7,9.2
3075,control,0,6,8
3076,control,0,5,6
3077,control,0,8,11
3078,treatment,1,4,6.2
3079,treatment,1,10,11.2
3080,control,0,6,7
3081,control,0,1,4
3082,treatment,1,11,14.2
3083,treatment,1,7,10.2
3084,control,0,6,7
3085,treatment,1,10,11.2
3086,treatment,1,7,9.2
3087,control,0,6,9
3088,control,0,8,11
3089,treatment,1,9,12.2
3090,control,0,4,5
3091,control,0,4,7
3092,treatment,1,9,10.2
3093,treatment,1,10,11.2
3094,treatment,1,4,5.2
3095,control,0,8,9
3096,control,0,7,8
3097,control,0,3,4
3098,control,0,7,10
3099,control,0,3,5
3100,treatment,1,3,5.2
3101,treatment,1,2,3.2
3102,control,0,6,7
3103,treatment,1,10,12.2
3104,treatment,1,6,7.2
3105,treatment,1,10,12.2
3106,treatment,1,5,7.2
3107,treatment,1,8,11.2
3108,treatment,1,5,8.2
3109,control,0,8,11
3110,control,0,7,8
3111,treatment,1,6,7.2
3112,treatment,1,10,13.2
3113,control,0,2,4
3114,control,0,3,5
3115,control,0,4,5
3116,control,0,2,3
3117,control,0,9,12
3118,control,0,10,12
3119,control,0,9,11
3120,treatment,1,5,6.2
3121,control,0,4,7
3122,control,0,9,12
3123,treatment,1,7,8.2
3124,treatment,1,4,5.2
3125,treatment,1,3,4.2
3126,control,0,4,7
3127,treatment,1,5,7.2
3128,treatment,1,8,9.2
3129,treatment,1,6,9.2
3130,control,0,2,4
3131,treatment,1,10,13.2
3132,control,0,10,12
3133,treatment,1,3,6.2
3134,control,0,2,5
3135,control,0,3,4
3136,treatment,1,8,11.2
3137,control,0,5,8
3138,control,0,7,8
3139,treatment,1,9,12.2
3140,control,0,1,3
3141,treatment,1,10,12.2
3142,control,0,1,4
3143,control,0,4,5
3144,treatment,1,5,8.2
3145,control,0,8,9
3146,treatment,1,2,5.2
3147,treatment,1,9,12.2
3148,control,0,3,5
3149,treatment,1,3,4.2
3150,treatment,1,11,12.2
3151,treatment,1,8,10.2
3152,treatment,1,10,11.2
3153,control,0,3,4
3154,treatment,1,5,8.2
3155,control,0,8,11
3156,control,0,1,4
3157,treatment,1,3,5.2
3158,treatment,1,3,6.2
3159,control,0,1,2
3160,control,0,7,9
3161,control,0,5,7
3162,treatment,1,6,7.2
3163,control,0,7,9
3164,treatment,1,10,13.2
3165,treatment,1,6,8.2
3166,control,0,7,9
3167,treatment,1,9,12.2
3168,control,0,10,12
3169,control,0,8,10
3170,treatment,1,8,9.2
3171,treatment,1,8,9.2
3172,control,0,3,6
3173,treatment,1,5,8.2
3174,control,0,4,5
3175,control,0,6,9
3176,control,0,4,5
3177,control,0,5,7
3178,treatment,1,2,3.2
3179,control,0,3,4
3180,treatment,1,9,12.2
3181,treatment,1,7,10.2
3182,treatment,1,2,4.2
3183,control,0,8,11
3184,control,0,1,3
3185,control,0,8,11
3186,treatment,1,10,11.2
3187,control,0,9,12
3188,treatment,1,8,9.2
3189,treatment,1,10,12.2
3190,control,0,10,11
3191,treatment,1,8,11.2
3192,control,0,2,5
3193,control,0,10,11
3194,control,0,9,11
3195,treatment,1,4,7.2
3196,control,0,4,7
3197,treatment,1,7,10.2
3198,control,0,6,9
3199,treatment,1,11,13.2
3200,treatment,1,7,8.2
3201,treatment,1,6,8.2
3202,treatment,1,2,4.2
3203,treatment,1,7,8.2
3204,treatment,1,6,9.2
3205,control,0,7,8
3206,control,0,3,6
3207,treatment,1,11,14.2
3208,treatment,1,9,12.2
3209,treatment,1,9,11.2
3210,treatment,1,8,9.2
3211,control,0,8,9
3212,control,0,2,5
3213,control,0,6,7
3214,control,0,5,8
3215,control,0,1,4
3216,control,0,7,9
3217,control,0,3,6
3218,treatment,1,8,10.2
3219,control,0,8,10
3220,treatment,1,6,7.2
3221,control,0,3,4
3222,control,0,6,7
3223,control,0,8,10
3224,treatment,1,4,5.2
3225,control,0,8,11
3226,control,0,8,11
3227,control,0,5,8
3228,treatment,1,6,9.2
3229,treatment,1,2,4.2
3230,control,0,5,7
3231,treatment,1,2,4.2
3232,treatment,1,10,12.2
3233,treatment,1,6,8.2
3234,control,0,9,11
3235,control,0,3,4
3236,control,0,1,2
3237,control,0,5,6
3238,control,0,9,12
3239,control,0,8,10
3240,treatment,1,11,12.2
3241,control,0,10,13
3242,control,0,8,10
3243,control,0,2,4
3244,treatment,1,2,4.2
3245,control,0,7,9
3246,treatment,1,3,4.2
3247,treatment,1,11,13.2
3248,treatment,1,9,10.2
3249,treatment,1,11,12.2
3250,treatment,1,5,6.2
3251,treatment,1,8,9.2
3252,treatment,1,7,9.2
3253,control,0,9,10
3254,treatment,1,5,7.2
3255,control,0,5,8
3256,control,0,1,2
3257,control,0,1,4
3258,treatment,1,3,4.2
3259,control,0,7,8
3260,treatment,1,11,12.2
3261,treatment,1,4,5.2
3262,treatment,1,8,10.2
3263,treatment,1,3,4.2
3264,control,0,3,4
3265,treatment,1,2,4.2
3266,control,0,10,13
3267,control,0,10,13
3268,treatment,1,5,7.2
3269,control,0,3,4
3270,control,0,1,3
3271,treatment,1,5,8.2
3272,treatment,1,3,4.2
3273,treatment,1,4,7.2
3274,control,0,9,12
3275,control,0,5,7
3276,control,0,2,5
3277,treatment,1,11,13.2
3278,control,0,5,7
3279,control,0,3,5
3280,treatment,1,7,8.2
3281,control,0,6,7
3282,control,0,2,4
3283,control,0,2,4
3284,control,0,9,11
3285,treatment,1,7,9.2
3286,control,0,10,12
3287,treatment,1,9,10.2
3288,treatment,1,4,6.2
3289,control,0,8,9
3290,treatment,1,3,5.2
3291,control,0,6,8
3292,treatment,1,6,8.2
3293,treatment,1,5,8.2
3294,control,0,6,8
3295,control,0,7,9
3296,control,0,2,5
3297,control,0,7,8
3298,treatment,1,9,11.2
3299,treatment,1,5,6.2
3300,treatment,1,4,6.2
3301,control,0,4,5
3302,treatment,1,9,10.2
3303,control,0,3,4
3304,treatment,1,2,4.2
3305,control,0,6,9
3306,control,0,6,7
3307,control,0,10,13
3308,control,0,2,5
3309,treatment,1,11,13.2
3310,control,0,8,9
3311,control,0,2,5
3312,treatment,1,6,9.2
3313,control,0,5,7
3314,treatment,1,11,13.2
3315,control,0,10,12
3316,treatment,1,8,9.2
3317,control,0,2,4
3318,treatment,1,9,10.2
3319,control,0,3,6
3320,control,0,7,10
3321,control,0,10,13
3322,control,0,7,8
3323,control,0,6,9
3324,treatment,1,9,11.2
3325,treatment,1,4,5.2
3326,treatment,1,8,11.2
3327,treatment,1,3,6.2
3328,treatment,1,4,7.2
3329,control,0,8,10
3330,control,0,8,10
3331,treatment,1,2,4.2
3332,treatment,1,9,11.2
3333,treatment,1,4,5.2
3334,treatment,1,10,11.2
3335,control,0,4,5
3336,control,0,10,13
3337,treatment,1,4,7.2
3338,treatment,1,11,13.2
3339,control,0,10,13
3340,control,0,3,6
3341,treatment,1,3,5.2
3342,control,0,8,9
3343,treatment,1,11,14.2
3344,control,0,8,11
3345,treatment,1,9,11.2
3346,treatment,1,5,7.2
3347,treatment,1,5,8.2
3348,treatment,1,7,9.2
3349,treatment,1,6,8.2
3350,control,0,9,10
3351,control,0,4,5
3352,treatment,1,5,8.2
3353,treatment,1,7,8.2
3354,control,0,8,11
3355,control,0,4,7
3356,treatment,1,11,12.2
3357,control,0,2,5
3358,control,0,6,8
3359,control,0,4,7
3360,control,0,1,2
3361,treatment,1,9,10.2
3362,treatment,1,5,8.2
3363,control,0,10,11
3364,control,0,8,9
3365,treatment,1,5,6.2
3366,control,0,1,3
3367,treatment,1,8,11.2
3368,control,0,5,8
3369,treatment,1,4,7.2
3370,control,0,8,11
3371,control,0,3,6
3372,treatment,1,3,5.2
3373,treatment,1,4,7.2
3374,control,0,1,2
3375,treatment,1,7,10.2
3376,control,0,6,7
3377,control,0,10,11
3378,treatment,1,8,11.2
3379,control,0,2,4
3380,control,0,10,13
3381,control,0,9,11
3382,control,0,2,4
3383,control,0,6,9
3384,control,0,9,10
3385,control,0,3,5
3386,treatment,1,11,13.2
3387,treatment,1,8,9.2
3388,treatment,1,9,10.2
3389,control,0,8,10
3390,treatment,1,8,10.2
3391,control,0,4,7
3392,control,0,4,5
3393,treatment,1,7,10.2
3394,treatment,1,10,12.2
3395,control,0,10,12
3396,treatment,1,6,8.2
3397,treatment,1,11,12.2
3398,control,0,3,5
3399,control,0,8,11
3400,treatment,1,11,14.2
3401,treatment,1,4,5.2
3402,treatment,1,9,10.2
3403,treatment,1,4,7.2
3404,control,0,7,8
3405,control,0,7,9
3406,control,0,7,9
3407,treatment,1,2,3.2
3408,treatment,1,9,11.2
3409,control,0,4,5
3410,control,0,1,2
3411,control,0,1,4
3412,control,0,1,2
3413,control,0,7,9
3414,treatment,1,9,12.2
3415,control,0,4,7
3416,treatment,1,5,8.2
3417,treatment,1,10,12.2
3418,treatment,1,10,13.2
3419,control,0,3,5
3420,treatment,1,2,4.2
3421,treatment,1,11,12.2
3422,treatment,1,2,3.2
3423,control,0,6,7
3424,control,0,5,6
3425,treatment,1,4,5.2
3426,treatment,1,3,5.2
3427,treatment,1,11,14.2
3428,control,0,7,9
3429,treatment,1,2,4.2
3430,control,0,2,3
3431,treatment,1,5,8.2
3432,treatment,1,6,9.2
3433,treatment,1,11,12.2
3434,treatment,1,4,6.2
3435,control,0,2,3
3436,control,0,1,4
3437,treatment,1,11,14.2
3438,treatment,1,2,5.2
3439,treatment,1,7,9.2
3440,treatment,1,3,4.2
3441,control,0,7,10
3442,control,0,6,8
3443,treatment,1,4,5.2
3444,control,0,10,12
3445,control,0,10,11
3446,treatment,1,11,14.2
3447,treatment,1,5,6.2
3448,treatment,1,2,4.2
3449,control,0,6,8
3450,treatment,1,9,10.2
3451,control,0,2,3
3452,control,0,6,9
3453,treatment,1,11,12.2
3454,control,0,3,6
3455,control,0,7,8
3456,treatment,1,10,13.2
3457,treatment,1,5,7.2
3458,control,0,5,8
3459,control,0,1,3
3460,control,0,9,10
3461,control,0,6,7
3462,control,0,4,6
3463,treatment,1,4,5.2
3464,treatment,1,9,11.2
3465,treatment,1,5,6.2
3466,treatment,1,10,13.2
3467,control,0,2,3
3468,control,0,2,3
3469,control,0,1,2
3470,treatment,1,9,11.2
3471,treatment,1,7,10.2
3472,control,0,2,4
3473,control,0,8,10
3474,treatment,1,3,6.2
3475,control,0,10,11
3476,treatment,1,8,11.2
3477,control,0,4,7
3478,control,0,6,8
3479,treatment,1,6,9.2
3480,control,0,3,5
3481,control,0,2,5
3482,control,0,3,4
3483,treatment,1,5,8.2
3484,treatment,1,8,11.2
3485,treatment,1,7,9.2
3486,control,0,9,10
3487,treatment,1,9,11.2
3488,control,0,7,10
3489,treatment,1,11,12.2
3490,treatment,1,10,12.2
3491,control,0,7,9
3492,control,0,9,11
3493,treatment,1,3,5.2
3494,treatment,1,2,4.2
3495,control,0,10,11
3496,control,0,2,4
3497,control,0,3,5
3498,treatment,1,8,10.2
3499,treatment,1,7,10.2
3500,control,0,8,11
3501,treatment,1,2,5.2
3502,control,0,5,7
3503,treatment,1,2,3.2
3504,control,0,7,8
3505,treatment,1,3,4.2
3506,treatment,1,5,6.2
3507,treatment,1,11,12.2
3508,treatment,1,4,7.2
3509,treatment,1,4,7.2
3510,control,0,4,5
3511,control,0,9,11
3512,treatment,1,4,7.2
3513,treatment,1,10,11.2
3514,control,0,1,4
3515,treatment,1,11,12.2
